CLOSE_Cisco_ASUS
PRT;ID;SEND	;RECV	;BANDWIDTH;TR_RATE;JITTER;PLOSS;LATNCY
TCP;1;192.168.0.201;192.168.0.202;9,03Mbit/sPLCH_TTRT;;NA;NA;10,03ms
TCP;2;192.168.0.201;192.168.0.203;9,25Mbit/sPLCH_TTRT;;NA;NA;4,18ms
TCP;3;192.168.0.202;192.168.0.201;12,20Mbit/sPLCH_TTRT;;NA;NA;5,32ms
TCP;4;192.168.0.202;192.168.0.203;17,40Mbit/sPLCH_TTRT;;NA;NA;3,06ms
TCP;5;192.168.0.203;192.168.0.201;15,10Mbit/sPLCH_TTRT;;NA;NA;4,34ms
TCP;6;192.168.0.203;192.168.0.202;11,80Mbit/sPLCH_TTRT;;NA;NA;2,47ms
UDP;7;192.168.0.201;192.168.0.202;9,34Mbit/s;PLCH_TTRT;1,93ms;70,00%;NA
UDP;8;192.168.0.201;192.168.0.203;23,50Mbit/s;PLCH_TTRT;3,55ms;18,00%;NA
UDP;9;192.168.0.202;192.168.0.201;21,30Mbit/s;PLCH_TTRT;2,12ms;49,00%;NA
UDP;10;192.168.0.202;192.168.0.203;29,50Mbit/s;PLCH_TTRT;0,64ms;30,00%;NA
UDP;11;192.168.0.203;192.168.0.201;21,00Mbit/s;PLCH_TTRT;1,66ms;47,00%;NA
UDP;12;192.168.0.203;192.168.0.202;11,10Mbit/s;PLCH_TTRT;2,48ms;75,00%;NA
UDP;13;192.168.0.201;192.168.0.202;8,58Mbit/s;PLCH_TTRT;2,00ms;71,00%;NA
UDP;14;192.168.0.201;192.168.0.203;24,40Mbit/s;PLCH_TTRT;2,42ms;13,00%;NA
UDP;15;192.168.0.202;192.168.0.201;16,10Mbit/s;PLCH_TTRT;5,16ms;63,00%;NA
UDP;16;192.168.0.202;192.168.0.203;26,50Mbit/s;PLCH_TTRT;1,54ms;37,00%;NA
UDP;17;192.168.0.203;192.168.0.201;20,30Mbit/s;PLCH_TTRT;4,08ms;53,00%;NA
UDP;18;192.168.0.203;192.168.0.202;14,40Mbit/s;PLCH_TTRT;1,40ms;67,00%;NA
UDP;19;192.168.0.201;192.168.0.202;10,30Mbit/s;PLCH_TTRT;3,32ms;67,00%;NA
UDP;20;192.168.0.201;192.168.0.203;21,60Mbit/s;PLCH_TTRT;1,02ms;10,00%;NA
UDP;21;192.168.0.202;192.168.0.201;16,80Mbit/s;PLCH_TTRT;3,32ms;60,00%;NA
UDP;22;192.168.0.202;192.168.0.203;21,90Mbit/s;PLCH_TTRT;2,97ms;47,00%;NA
UDP;23;192.168.0.203;192.168.0.201;20,50Mbit/s;PLCH_TTRT;4,73ms;49,00%;NA
UDP;24;192.168.0.203;192.168.0.202;11,10Mbit/s;PLCH_TTRT;3,08ms;75,00%;NA
